編號,識別碼,學校名稱,地址,X,Y,專任教師數,學生數,原住民學生數,資料時間
1,14685,德拉楠民族實驗小學,新北市烏來區福山里李茂岸56號,121.502,24.77732,13,20,16,110Y
2,24523,大同國中,宜蘭縣大同鄉泰雅路4段35號,121.4779,24.57426,14,46,46,110Y
3,24669,南山國小,宜蘭縣大同鄉埤南巷31之3號,121.3804,24.43738,12,56,56,110Y
4,24674,武塔國小,宜蘭縣南澳鄉新溪路1號,121.7785,24.44559,13,20,18,110Y
5,44524,尖石國中,新竹縣尖石鄉嘉樂村3鄰80號,121.2021,24.70722,34,211,199,110Y
6,44666,尖石國小,新竹縣尖石鄉嘉樂村6鄰7號,121.2262,24.72875,12,28,28,110Y
7,44668,新樂國小,新竹縣尖石鄉新樂村水田一鄰10號,121.2505,24.73174,14,112,105,110Y
8,44676,桃山國小,新竹縣五峰鄉桃山村15鄰243號,121.1062,24.57514,15,59,58,110Y
9,54708,泰興國小,苗栗縣泰安鄉中興村1鄰2號,120.9207,24.39424,10,30,29,110Y
10,54712,象鼻國小,苗栗縣泰安鄉象鼻村1鄰4號,120.947,24.35999,15,40,40,110Y
11,64533,和平國中,台中市和平區南勢里東關路三段崑崙巷 62 號,120.8825,24.17869,20,43,35,110Y
12,64732,博屋瑪國小,臺中市和平區達觀里東崎路一段育英巷6號,120.9208,24.3279,16,57,52,110Y
13,84730,久美國小,南投縣信義鄉望美村美信巷54號,120.8843,23.61548,12,56,55,110Y
14,84744,都達國小,南投縣仁愛鄉都達村法觀路17號,121.1922,24.05952,12,42,42,110Y
15,94646,嘉興國小(含義興分校),新竹縣尖石鄉嘉樂村三鄰177號,121.2107,24.70526,12,38,2,110Y
16,104727,達邦國小,嘉義縣阿里山鄉里佳村三鄰52號,120.7201,23.40559,20,60,57,110Y
17,104734,阿里山國中小,嘉義縣阿里山鄉樂野村樂野31號,120.7014,23.46853,14,73,48,110Y
18,124730,巴楠花部落中小學,高雄市杉林區和氣街15號,120.5388,22.96399,19,108,80,110Y
19,124732,茂林國小,高雄市85141茂林區茂林里4-3號,120.6646,22.88614,16,31,27,110Y
20,124733,多納國小,高雄市茂林區多納巷1-2號,120.7163,22.91027,14,37,36,110Y
21,124738,樟山國小,高雄市桃源區拉芙蘭里南橫公路五段440號,120.8194,23.25277,14,30,30,110Y
22,134737,地磨兒國小,屏東縣三地門鄉行政街9號,120.6545,22.7149,27,147,147,110Y
23,134741,青葉國小,台灣屏東縣三地門鄉青葉村光復巷1之2號,120.6398,22.74399,13,38,35,110Y
24,134746,北葉國小,屏東縣瑪家鄉北葉村風景巷1-22號,120.6465,22.70669,15,116,109,110Y
25,134748,霧台國小,台灣屏東縣霧台鄉中山巷44號,120.7317,22.74541,22,102,102,110Y
26,134784,賽嘉國小,屏東縣三地門鄉賽嘉村2號,120.6398,22.74399,13,42,42,110Y
27,134787,長榮百合國小,屏東縣瑪家鄉和平路一段65號,120.6428,22.6985,13,109,100,110Y
28,144322,蘭嶼高中(完中),臺東縣蘭嶼鄉椰油村37號,121.5121,22.04865,32,0,38,110Y
29,144614,南王puyuma花環實驗小學,台東縣台東市更生北路726號,121.1143,22.78896,15,67,57,110Y
30,144627,達魯瑪克民族實驗小學(大南),台東縣卑南鄉東園一街40號,121.043,22.76493,13,76,74,110Y
31,144681,土坂vusam文化實驗小學,台東縣達仁鄉村1鄰10號,120.8875,22.45355,14,26,26,110Y
32,144686,椰油國小,台東縣蘭嶼鄉椰油村1號,121.5176,22.04528,13,69,66,110Y
33,144690,武陵國小,台東縣延平鄉明野路16號,121.1157,22.97015,11,61,61,110Y
34,154652,鶴岡國小,花蓮縣瑞穗鄉鶴岡村興鶴路二段167號,121.3902,23.52383,12,18,16,110Y
35,154655,豐濱國小,花蓮縣豐濱鄉民族街5號,121.5211,23.59858,14,57,44,110Y
36,154678,永豐國小,花蓮縣富里鄉豐南村永豐84號,121.2666,23.15478,11,22,19,110Y
37,154692,萬榮國小,花蓮縣萬榮鄉2鄰31號,121.411,23.71553,18,49,47,110Y
